Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
DS456,Cybersecurity Techniques,3-1-0-0-4,Dr. Rajendra Hegadi,0,1,139,1
EC445,Reinforcement Learning,3-1-0-0-4,Dr. Dibyadyuti,0,1,55,1
DS401,Health Care Data Analytics,3-1-0-0-4,Dr. Girish G N,0,1,75,1
EC462,Generative AI,3-1-0-0-4,Dr. Chimnayananda A,0,1,125,2
EC465,Hands on CMOS Analog and RF Circuit Design,3-1-0-0-4,Dr. Rajesh Kumar,0,1,39,2
PH454,Quantum AI - Quantum Gen AI - Generative Models on Quantum Platform,3-1-0-0-4,Dr. Aswath Babu,0,1,57,2
CS457,DevOps and its Applications,3-1-0-0-4,Dr. Shirishkumar Layek,0,1,77,3
DS458,Agentic AI,3-1-0-0-4,Dr. Sunil Saumya,0,1,73,3
CS468,Information Retrieval,3-1-0-0-4,Dr. Krishnendu,0,1,48,3
CS473,Cloud SRE and AI,3-1-0-0-4,Dr. Malay Kumar,0,1,17,3
CS470,AI for Cybersecurity,3-1-0-0-4,Dr. Abdul Wahid,0,1,47,4
DS420,Finance and Accounting,3-1-0-0-4,Dr. Anushree,0,1,150,4
MA452,Operations Research,3-1-0-0-4,Dr. Vivek Raj,0,1,0,4
EC463,Neural Networks,3-1-0-0-4,Dr. Jagadisha D N,0,1,9,4
