Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective
MA262,Multivariate Calculus,3-1-0-0-2,Dr. Somen B,1,0
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,1,0
DA261,Statistical Programming,1-0-2-0-2,Dr. Ramesh Athe,1,0
DA262,Data Handling and Visualization,2-0-2-0-3,Dr. Siddharth,1,0
CS304,Artificial Intelligence,3-1-0-0-4,Dr. Animesh Chaturvedi,0,0
CS307,Machine Learning,3-2-0-0-4,Dr. Utkarsh Khaire,0,0
HSS/IE,something,1-0-0-0-1,somethingkek,1,1
New,Electronics System Design-I,3-1-0-0-2,Dr. Pankaj,2,1
New,Introduction of RFIC design,3-1-0-0-2,Dr. Rajesh Kumar,2,1
New,Introduction to Embedded Signal Intelligence,3-1-0-0-2,Dr. Sibasankar Padhy,2,1
New,Electronic Systems Engineering,3-1-0-0-2,Mr. Mallikarjun Kande,2,1
New,Data Science with Python,3-1-0-0-2,Dr. Abdul Wahid,2,1
