Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,1,0,65,0
MA262,Multivariate Calculus,3-1-0-0-2,Dr. Somen Bhattacharjee,2,0,65,0
MA263,Random Process,3-1-0-0-2,Dr. Chinmayananda,1,0,65,0
EC261,Signals & Systems,2-1-0-0-3,Dr. Somen Bhattacharjee,2,0,65,0
EC262,Semiconductor Devices,3-0-2-0-2,Dr. Pankaj Kumar,1,0,65,0
EC465,Analog Electronic Circuits,3-0-2-0-2,Dr. Rajesh Kumar,2,0,65,0
CS307,Machine Learning,3-1-0-0-4,Dr. Deepak KT,2,0,65,1
EC251,Electronics System Design-I,3-1-0-0-2,Dr. Pankaj Kumar,1,1,75,1
EC252,Introduction to RFIC Design,3-1-0-0-2,Dr. Rajesh Kumar,1,1,50,1
Blank,Introduction to Embedded Signal Intelligence,3-1-0-0-2,Dr. Sibasankar Padhy,2,1,15,1
Blank,Electronic Systems Engineering,3-1-0-0-2,Mr. Mallikarjun Kande,1,1,20,1
CS152,Data Science with Python,3-1-0-0-2,Dr. Abdul Wahid,1,1,60,1
EC251,2D Computer Graphics,3-1-0-0-2,Dr. Vivekaraj V K,2,1,65,1
