Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,1,0
MA262,Multivariate Calculus,3-1-0-0-2,Dr. Somen Bhattacharjee,2,0
EC251,Random Process,3-1-0-0-2,Dr. Chinmayananda A,1,0
EC252,Signals & Systems,2-1-0-0-3,Dr. Somen Bhattacharjee,2,0
EC253,Semiconductor Devices,3-0-2-0-2,Dr. Pankaj Kumar,1,0
EC254,Analog Electronic Circuits,3-0-2-0-2,Dr. Rajesh Kumar,2,0
EC255,Machine Learning,3-1-0-0-4,Dr. Deepak K. T.,2,0
HS201,HSS/IE,3-0-0-0-3,TBD,0,0
EC256,Electronics System Design-I,2-0-0-0-2,Dr. Pankaj,1,1
EC257,Introduction to RFIC Design,2-0-0-0-2,Dr. Rajesh Kumar,1,1
EC258,Introduction to Embedded Signal Intelligence,2-0-2-4-2,Dr. Sibasankar Padhy,2,1
EC259,Electronic Systems Engineering,2-0-0-0-2,Mr. Mallikarjun Kande,1,1
CS162,Data Science with Python,2-0-0-0-2,Dr. Abdul Wahid,1,1
EC260,User Interaction and Experience Design,4-0-0-0-4,Dr. Sandesh P,2,1
EC261,2D Computer Graphics,2-0-0-0-2,Dr. Vivekaraj,2,1
