Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket,is_combined
CS309,Statistics for Computer Science,3-1-0-0-4,Dr. Sunil C K,0,0,85,0,0
CS303,Computer Networks,3-1-2-0-5,Dr. Animesh Roy,0,0,85,0,0
CS304,Artificial Intelligence,3-1-0-0-4,Dr. Krishnendu,0,0,85,0,0
HS101,Environmental Studies,0-0-0-8-2,Dr. Ashwath babu,0,0,0,0,0
CS463,Parallel computing,3-0-2-0-4,Dr. Pramod Yelmewad,0,1,24,2,0
CS308,Compiler Design,3-1-0-0-4,Dr. Pavan Kumar,0,1,30,1,0
DS301,Graphs and Social Network,3-1-0-0-4,Dr. Utkarsh K,0,1,18,1,0
CS366,Advanced Algorithm Design,3-1-0-0-4,Dr. Suvadip Hazra,0,1,85,1,0
DS359,Full Stack Development,3-0-2-0-4,Dr. Manjunath K V,0,1,85,2,0
EC355,Internet of Things,3-0-2-0-4,Dr. Prakash Pawar,0,1,35,2,0
EC364,Semiconductor Device Modeling,3-1-0-0-4,Dr. Pankaj Kumar,0,1,71,1,0
CS352,Cryptography & Information Security,3-1-0-0-4,Dr. Rajendra Hegadi,0,1,39,1,0
ASD352,User Interactions and Experience Design,3-0-2-0-4,Dr Sandesh P,0,1,85,2,0
EC365,AI in Biomedical Signal Interpretation,3-0-2-0-4,Dr. Sibasankar Padhy,0,1,26,2,0
