Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket,is_combined
CS261,Operating Systems,3-1-0-4-2,Dr. Suvadip Hazra,2,0,85,0,0
CS262,Software design tools and technique,3-0-2-0-3,Dr. Vivekraj V K,0,0,85,0,0
CS263,Design & Analysis of Algorithms,3-0-2-0-4,Dr. Pramod Yelmewad,0,0,85,0,0
CS264,Computer Networks,3-1-0-0-4,Dr. Prabhu Prasad BM,0,0,85,0,0
EC251,Electronics System Design-I,3-1-0-0-2,Dr. Pankaj Kumar,1,1,75,1,0
EC252,Introduction of RFIC design,3-1-0-0-2,Dr. Rajesh Kumar,2,1,15,1,0
EC253,Introduction to Embedded Signal Intelligence,3-1-0-0-2,Dr. Sibasankar Padhy,2,1,70,1,0
EC254,Electronic Systems Engineering,3-1-0-0-2,Mr. Mallikarjun Kande,1,1,60,1,0
CS152,Data Science with Python,3-1-0-0-2,Dr. Abdul Wahid,1,1,50,1,0
CS251,2D Computer Graphics,3-1-0-0-2,Dr. Vivekraj V K,1,1,20,1,0
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,1,0,85,0,1
MA262,Multivaritate Calculus,3-1-0-0-2,Dr. Somen Bhattacharjee,2,0,85,0,1
