Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket
MA261,Differential Equations,3-1-0-0-2,Dr. Anand Barangi,1,0,170,0
MA262,Multivariate Calculus,3-1-0-0-2,Dr. Somen Bhattacharjee,2,0,170,0
CS261,Operating Systems,3-1-0-4-2,Dr. Suvadip Hazra,1,0,170,0
CS262,Software design tools and technique,3-0-2-0-3,Dr. Sunil P V,0,0,170,0
CS263,Design & Analysis of Algorithms,3-0-2-0-4,Dr. Malay,0,0,170,0
CS264,Computer Networks,3-1-0-0-4,Dr. Prabhu Prasad BM,0,0,170,0
EC251,Electronics System Design-I,3-1-0-0-2,Dr. Pankaj,1,1,75,1
CS162,Data Science with Python,3-1-0-0-2,Dr. Abdul Wahid,1,1,50,1
EC253,2D Computer Graphics,3-1-0-0-2,Dr. Vivek VK,1,1,20,1
EC252,Introduction to RFIC Design,3-1-0-0-2,Dr. Sibasankar Padhy,1,1,15,1
NEW,Electronic System Engineering,3-1-0-0-2,Mr. Mallikarjun Kande,1,1,60,1
New,Introduction to Embedded Signal Intelligence,3-1-0-0-2,Dr. Sibasankar Padhy,2,1,70,1
