Semester,Course code,Course name,L,T,P,S,C,Faculty,Combined,Elective,total_students,ElectiveBasket,Semester_Half
3,MA262,Multivariate Calculus,3,1,0,0,2,Dr. Somen Bhattacharjee,1,0,86,0,1
3,MA261,Differential Equations,3,1,0,0,2,Dr. Anand Barangi,1,0,86,0,2
3,DA261,Statistical Programming,1,0,2,0,2,Dr. Ramesh Athe,0,0,86,0,1
3,DA262,Data Handling and Visualization,2,0,2,0,3,Dr. Siddharth,0,0,86,0,1
3,CS304,Artificial Intelligence,3,1,0,0,4,Dr. Animesh Chaturvedi,0,0,86,0,0
3,CS307,Machine Learning,3,2,0,0,4,Dr. Utkarsh Khaire,0,0,86,0,0
3,EC251,Electronics System Design-I,3,1,0,0,2,Dr. Pankaj Kumar,0,1,75,2,1
3,EC252,Introduction of RFIC design,3,1,0,0,2,Dr. Rajesh Kumar,0,1,15,2,1
3,EC253,Introduction to Embedded Signal Intelligence,3,1,0,0,2,Dr. Sibasankar Padhy,0,1,70,3,2
3,EC254,Electronic Systems Engineering,3,1,0,0,2,Mr. Mallikarjun Kande,0,1,60,3,1
3,CS152,Data Science with Python,3,1,0,0,2,Dr. Abdul Wahid,0,1,50,2,1
3,CS251,2D Computer Graphics,3,1,0,0,2,Dr. Vivekraj V K,0,1,20,3,1
5,DS302,Computer Communication Networks,3,1,2,0,5,Dr. Shirshendu Layek,0,0,75,0,0
5,DS303,Algorithms and Artificial Intelligence,3,1,0,0,4,Dr. Animesh Chaturvedi,0,0,75,0,0
5,CS307,Machine Learning,3,0,2,0,4,Dr. Siddharth,0,0,75,0,0
5,CS463,Parallel computing,3,0,2,0,4,Dr. Pramod Yelmewad,0,1,24,3,0
5,CS308,Compiler Design,3,1,0,0,4,Dr. Pavan Kumar,0,1,30,3,0
5,DS301,Graphs and Social Network,3,1,0,0,4,Dr. Utkarsh K,0,1,18,4,0
5,CS366,Advanced Algorithm Design,3,1,0,0,4,Dr. Suvadip,0,1,75,3,0
5,DS359,Full Stack Development,3,0,2,0,4,Dr. Manjunath K V,0,1,75,4,0
5,EC355,Internet of Things,3,0,2,0,4,Dr. Prakash Pawar,0,1,35,4,0
5,EC364,Semiconductor Device Modeling,3,1,0,0,4,Dr. Pankaj Kumar,0,1,71,4,0
5,CS352,Cryptography & Information Security,3,1,0,0,4,Dr. Rajendra Hegadi,0,1,39,4,0
5,ASD352,User Interactions and Experience Design,3,0,2,0,4,Dr Sandesh P,0,1,94,4,0
5,EC365,AI in Biomedical Signal Interpretation,3,0,2,0,4,Dr. Sibasankar Padhy,0,1,26,4,0
1,CS151,Introduction to Cybersecurity,3,0,0,0,2,Dr. Girish Revadigar,0,1,44,1,1
1,CS161,Problem solving through Programming,3,0,2,0,4,Dr. Sunil C K,0,0,94,0,0
1,DS151,Linux for Engineers,3,0,0,0,2,Dr. Vivekraj V K,0,1,44,1,1
1,EC161,Digital Design,3,0,2,0,2,Dr. Prakash Pawar,1,0,94,0,1
1,MA162,Probability,3,0,0,0,2,Dr. Chinmayananda,1,0,94,0,1
1,PH151,Introduction to Quantum Physics,3,0,0,0,2,Dr. Aswath Babu,0,1,44,1,1
1,FS161,Fundamentals of Sensing and Control,3,0,0,0,2,Mr. Mallikarjun Kande,0,1,35,1,2
1,LT151,Leveraging IT for Social Good & CSR,3,0,0,0,2,Dr. Rajesh N S,0,1,20,1,2
1,BD151,Basics of Design,3,0,0,0,2,Dr. Sandesh P,0,1,54,1,2
1,HS156,Holistic Personality Development,3,0,0,0,1,Dr. Rajesh N S,0,1,42,1,2
1,CS315,Statistics ,3,1,0,0,2,Dr. Ramesh Athe,1,0,75,0,2
1,CS318,Introduction to DS and AI,3,1,0,0,2,Dr. Girish Revadigar,1,0,75,0,2
1,HS161,English Language and Communication,3,1,0,0,2,Dr. Rajesh N S,0,0,75,0,2
3,MA261,Differential Equations,3,1,0,0,2,Dr. Anand Barangi,1,0,85,0,1
3,MA262,Multivaritate Calculus,3,1,0,0,2,Dr. Anand Barangi,1,0,85,0,2
