Semester,Course code,Course name,L,T,P,S,C,Faculty,Combined,Elective,total_students,ElectiveBasket,Semester_Half
5,EC306,Digital Signal Processing,3,0,2,0,4,Dr. Sibasankar Padhy,0,0,55,0,0
5,EC301,Introduction to VLSI Design,3,1,0,0,4,Dr.Jagdish D.N,0,0,55,0,0
5,EC351,Introduction to Algorithms,3,1,0,0,4,Dr.Jagdish R.B,0,0,55,0,0
5,CS463,Parallel computing,3,0,2,0,4,Dr. Pramod Yelmewad,0,1,24,3,0
5,CS308,Compiler Design,3,1,0,0,4,Dr. Pavan Kumar,0,1,30,3,0
5,DS301,Graphs and Social Network,3,1,0,0,4,Dr. Utkarsh K,0,1,18,4,0
5,CS366,Advanced Algorithm Design,3,1,0,0,4,Dr. Suvadip Hazra,0,1,93,3,0
5,EC364,Semiconductor Device Modeling,3,1,0,0,4,Dr. Pankaj Kumar,0,1,71,4,0
5,DS359,Full Stack Development,3,0,2,0,4,Dr. Manjunath K V,0,1,93,4,0
5,EC355,Internet of Things,3,0,2,0,4,Dr. Prakash Pawar,0,1,35,4,0
5,CS352,Cryptography & Information Security,3,1,0,0,4,Dr. Rajendra Hegadi,0,1,39,4,0
5,ASD352,User Interactions and Experience Design,3,0,2,0,4,Dr Sandesh P,0,1,93,4,0
5,EC365,AI in Biomedical Signal Interpretation,3,0,2,0,4,Dr. Sibasankar Padhy,0,1,26,4,0
1,CS151,Introduction to Cybersecurity,3,0,0,4,2,Dr. Girish Revadigar,0,1,28,1,1
1,CS161,Problem solving through Programming,3,0,2,0,4,Dr. Sunil Kumar P V,0,0,85,0,0
1,DS151,Linux for Engineers,3,0,0,0,2,Dr. Vivekraj V K,0,1,28,1,1
1,EC161,Digital Design,3,0,2,0,2,Dr. Prakash Pawar,1,0,85,0,1
1,MA162,Probability,3,0,0,0,2,Dr. Chinmayananda,1,0,85,0,1
1,PH151,Introduction to Quantum Physics,3,0,0,0,2,Dr. Aswath Babu,0,1,28,1,1
1,FS161,Fundamentals of Sensing and Control,3,0,0,0,2,Mr. Mallikarjun Kande,0,1,35,1,2
1,LT151,Leveraging IT for Social Good & CSR,3,0,0,0,2,Dr. Rajesh N S,0,1,20,1,2
1,BD151,Basics of Design,3,0,0,0,2,Dr. Sandesh P,0,1,54,1,2
1,HS156,Holistic Personality Development,3,0,0,0,1,Dr. Rajesh N S,0,1,42,1,2
3,MA261,Differential Equations,3,1,0,0,2,Dr. Anand Barangi,1,0,65,0,2
3,MA262,Multivariate Calculus,3,1,0,0,2,Dr. Somen Bhattacharjee,1,0,65,0,1
3,MA263,Random Process,3,1,0,0,2,Dr. Chinmayananda,0,0,65,0,1
3,EC261,Signals & Systems,2,1,0,0,3,Dr. Somen Bhattacharjee,0,0,65,0,2
3,EC262,Semiconductor Devices,3,0,2,0,2,Dr. Pankaj Kumar,0,0,65,0,1
3,EC465,Analog Electronic Circuits,3,0,2,0,2,Dr. Rajesh Kumar,0,0,65,0,2
3,CS307,Machine Learning,3,1,0,0,4,Dr. Deepak KT,0,0,65,0,2
3,EC251,Electronics System Design-I,3,1,0,0,2,Dr. Pankaj Kumar,0,1,75,2,1
3,EC252,Introduction of RFIC design,3,1,0,0,2,Dr. Rajesh Kumar,0,1,15,2,1
3,EC253,Introduction to Embedded Signal Intelligence,3,1,0,0,2,Dr. Sibasankar Padhy,0,1,70,3,2
3,EC254,Electronic Systems Engineering,3,1,0,0,2,Mr. Mallikarjun Kande,0,1,60,3,1
3,CS152,Data Science with Python,3,1,0,0,2,Dr. Abdul Wahid,0,1,50,2,1
3,CS251,2D Computer Graphics,3,1,0,0,2,Dr. Vivekraj V K,0,1,20,3,1
1,CS315,Statistics ,3,1,0,0,2,Dr. Ramesh Athe,1,0,75,0,2
1,CS318,Introduction to DS and AI,3,1,0,0,2,Dr. Girish Revadigar,1,0,75,0,2
1,HS161,English Language and Communication,3,1,0,0,2,Dr. Rajesh N S,0,0,75,0,2
3,MA261,Differential Equations,3,1,0,0,2,Dr. Anand Barangi,1,0,85,0,1
3,MA262,Multivaritate Calculus,3,1,0,0,2,Dr. Anand Barangi,1,0,85,0,2
